,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,1,9,70,31.3616737895262,32.40000000000019,544.2000000000552,5120,6.994535519125683,13,,
1,0,6,140,30.601808618244032,32.40000000000019,670.700000000084,10240,276.7567567567568,7,,
2,2,11,50,41.01039571177517,42.10000000000033,845.4000000001237,2048,2.6122448979591835,13,,
3,10,4,140,216.76855783172746,457.60000000003555,1084.8000000001089,7168,10.603550295857989,3,,
4,9,10,50,209.36705695293273,210.49999999999233,1111.2000000000849,5120,42.666666666666664,6,,
5,5,15,180,122.47095173007884,126.59999999999708,1290.6999999999216,2048,3.034074074074074,18,,
6,3,13,50,48.58798128187858,49.600000000000435,1318.5999999998962,10240,276.7567567567568,14,,
7,6,13,50,189.28959471662026,190.39999999999347,1319.999999999895,7168,183.7948717948718,8,,
8,4,12,100,88.59576146612106,89.69999999999918,1524.5999999997089,1024,27.675675675675677,13,,
9,8,3,10,208.45955163671198,831.6000000001205,1599.199999999641,5120,131.28205128205127,1,,
10,15,15,140,300.44824351698094,307.5000000000014,1715.3999999995353,7168,10.110014104372356,8,,
11,17,2,80,334.6132972750385,963.6000000001505,1764.5999999994906,1024,26.256410256410255,1,,
12,7,20,120,192.01816685481725,218.89999999999185,1795.4999999994625,5120,131.28205128205127,16,,
13,13,9,50,245.3436058530317,1274.6999999999362,1808.2999999994508,4096,34.13333333333333,1,,
14,12,12,120,238.6928557781213,277.8999999999947,1809.3999999994498,5120,7.57396449704142,6,,
15,18,11,140,384.34544010173147,457.60000000003555,1812.7999999994468,7168,179.2,5,,
16,16,18,80,307.9190360859856,335.70000000000783,1816.1999999994437,10240,14.442877291960508,10,,
17,19,3,80,384.54103915835947,418.6000000000267,1827.6999999994332,10240,15.170370370370371,3,,
18,14,18,80,276.8283658897089,277.8999999999947,1834.0999999994274,4096,5.777150916784203,16,,
19,11,15,120,237.88602366771207,239.79999999999066,1834.399999999427,4096,34.13333333333333,18,,
