,job_id,node_id,nb_tasks,transfert_time,time_of_use,data_size
0,0,1,0,96.60377358490567,0.0,10240
1,1,3,0,131.28205128205127,0.0,5120
2,1,7,0,93.0909090909091,0.0,5120
3,1,9,1,42.666666666666664,77.44716101617672,5120
4,1,25,1,6.481012658227848,80.751534603464,5120
5,0,26,1,14.442877291960508,255.04012699444772,10240
6,0,29,1,14.463276836158192,261.9802221118965,10240
7,0,30,1,14.242002781641169,198.76937012200668,10240
8,0,32,1,13.894165535956581,244.98339683009252,10240
9,0,33,1,15.170370370370371,192.38702284678098,10240
10,1,34,7,6.530612244897959,3442.2445776518243,5120
11,2,10,1,19.504761904761907,94.39205503009092,2048
12,1,11,0,85.33333333333333,0.0,5120
13,2,27,1,3.2251968503937007,69.9098044042486,2048
14,1,28,0,8.152866242038217,0.0,5120
15,2,31,1,3.4019933554817277,97.3428836228974,2048
16,2,35,1,2.5761006289308175,103.4538454378563,2048
17,2,36,1,3.029585798816568,97.87852134102218,2048
18,1,4,0,138.3783783783784,0.0,5120
19,3,48,1,14.927113702623906,344.93946740631145,10240
20,3,49,1,15.609756097560975,346.02294651931544,10240
21,3,30,0,14.242002781641169,0.0,10240
22,3,32,0,13.894165535956581,0.0,10240
23,4,0,1,68.26666666666667,170.33694783036722,1024
24,4,2,0,44.52173913043478,0.0,1024
25,4,6,1,85.33333333333333,189.03735023456093,1024
26,1,8,0,93.0909090909091,0.0,5120
27,4,10,1,9.752380952380953,188.78411006018183,1024
28,4,28,1,1.6305732484076434,183.13603732871115,1024
29,2,28,0,3.261146496815287,0.0,2048
30,2,34,6,2.6122448979591835,1806.4257258814241,2048
31,4,27,1,1.6125984251968504,139.8196088084972,1024
32,2,25,0,2.5924050632911393,0.0,2048
33,4,5,1,25.6,159.94356286635383,1024
34,3,18,0,110.10752688172043,0.0,10240
35,5,25,2,2.5924050632911393,830.587213064201,2048
36,5,7,1,37.236363636363635,318.2316002076689,2048
37,5,11,1,34.13333333333333,372.67692126791536,2048
38,5,1,1,19.32075471698113,224.19572615346692,2048
39,5,2,0,89.04347826086956,0.0,2048
40,5,31,1,3.4019933554817277,350.43438104243063,2048
41,3,36,1,15.14792899408284,97.87852134102218,10240
42,5,5,0,51.2,0.0,2048
43,4,35,1,1.2880503144654087,206.9076908757126,1024
44,4,9,1,8.533333333333333,110.63880145168103,1024
45,5,36,1,3.029585798816568,352.3626768276799,2048
46,2,3,0,52.51282051282051,0.0,2048
47,5,9,1,17.066666666666666,199.14984261302587,2048
48,5,8,0,37.236363636363635,0.0,2048
49,2,4,0,55.351351351351354,0.0,2048
50,6,19,0,100.95774647887323,0.0,7168
51,6,39,0,9.886896551724139,0.0,7168
52,3,46,0,14.586894586894587,0.0,10240
53,6,12,0,78.76923076923077,0.0,7168
54,3,13,0,100.3921568627451,0.0,10240
55,6,15,0,119.46666666666667,0.0,7168
56,3,17,0,101.38613861386139,0.0,10240
57,3,22,0,262.56410256410254,0.0,10240
58,6,23,0,137.84615384615384,0.0,7168
59,6,24,0,76.25531914893617,0.0,7168
60,1,37,0,8.012519561815337,0.0,5120
61,9,39,0,7.062068965517241,0.0,5120
62,9,40,0,7.551622418879056,0.0,5120
63,3,41,0,16.516129032258064,0.0,10240
64,1,43,0,7.10124826629681,0.0,5120
65,1,44,0,6.781456953642384,0.0,5120
66,1,47,0,6.994535519125683,0.0,5120
67,7,44,1,6.781456953642384,847.2271818912284,5120
68,7,47,1,6.994535519125683,899.2418412140611,5120
69,5,3,0,52.51282051282051,0.0,2048
70,7,43,1,7.10124826629681,781.6279029598861,5120
71,7,46,1,7.293447293447294,1062.2155069531786,5120
72,11,8,0,74.47272727272727,0.0,4096
73,11,14,1,83.59183673469387,829.3911723127425,4096
74,7,18,0,55.053763440860216,0.0,5120
