,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,0,6,140,102.0060287274801,103.19999999999841,382.7000000000185,10240,15.170370370370371,6,,
1,1,9,70,104.53891263175399,105.69999999999827,468.0000000000379,5120,7.57396449704142,8,,
2,2,11,50,136.70131903925054,137.89999999999645,520.5000000000498,2048,2.6122448979591835,10,,
3,4,12,100,295.3192048870702,296.3999999999989,520.7000000000498,1024,1.6125984251968504,12,,
4,3,13,50,161.9599376062619,163.09999999999502,597.2000000000672,10240,14.463276836158192,9,,
5,5,15,180,408.2365057669295,409.30000000002457,834.2000000001211,2048,3.2251968503937007,15,,
6,6,13,50,630.9653157220675,632.0000000000751,1301.0999999999121,7168,9.142857142857142,9,,
7,17,2,80,1115.3776575834615,1371.9999999998477,1564.7999999996723,1024,27.675675675675677,1,,
8,7,20,120,640.0605561827242,641.1000000000772,1824.1999999994364,5120,6.530612244897959,24,,
9,8,3,10,694.8651721223733,1788.9999999994684,1826.2999999994345,5120,6.530612244897959,1,,
10,10,4,140,722.5618594390916,731.6000000000978,1882.1999999993836,7168,193.72972972972974,5,,
11,14,18,80,922.7612196323629,923.8000000001415,1958.1999999993145,4096,105.02564102564102,14,,
12,9,10,50,697.8901898431092,698.9000000000904,1983.5999999992914,5120,6.530612244897959,14,,
13,11,15,120,792.9534122257069,796.7000000001126,2027.999999999251,4096,34.13333333333333,13,,
14,13,9,50,817.8120195101056,818.9000000001176,2089.399999999195,4096,5.224489795918367,9,,
15,16,18,80,1026.3967869532853,1045.5000000001446,2192.899999999101,10240,15.609756097560975,14,,
16,12,12,120,795.6428525937376,808.7000000001153,2208.199999999087,5120,128.0,15,,
17,18,11,140,1281.1514670057713,1402.9999999998195,2213.2999999990825,7168,9.073417721518988,6,,
18,19,3,80,1281.803463861198,1308.999999999905,2219.9999999990764,10240,15.170370370370371,3,,
19,15,15,140,1001.494145056603,1024.5000000001637,2239.4999999990587,7168,9.142857142857142,11,,
