,job,task,node,start_time,finishing_time,execution_time,id_dataset,transfert_time
0,0,-1,2,32.40000000000019,47.915151515151706,15.515151515151516,0,15.515151515151516
1,0,0,2,50.60000000000045,138.25061727138907,87.65061727138863,0,0.0
2,1,-1,1,32.400000000000205,225.60754716981154,193.20754716981133,1,193.20754716981133
3,0,1,2,140.6999999999963,228.35061727138492,87.65061727138863,0,0.0
4,1,-1,4,32.400000000000205,247.97894736842125,215.57894736842104,1,215.57894736842104
5,2,-1,1,227.69999999999135,295.3226415094253,67.62264150943395,2,67.62264150943395
6,1,-1,3,32.400000000000205,301.8736842105265,269.4736842105263,1,269.4736842105263
7,0,2,2,228.3999999999913,316.0506172713799,87.6506172713886,0,0.0
8,1,0,4,250.69999999999004,348.1977132604151,97.49771326042509,1,0.0
9,4,-1,3,303.60000000000053,357.4947368421058,53.89473684210526,4,53.89473684210526
10,0,3,2,316.1000000000034,403.750617271392,87.65061727138863,0,0.0
11,1,1,4,348.2000000000107,445.69771326043576,97.49771326042509,1,0.0
12,4,0,3,357.6000000000128,481.6501772284092,124.05017722839636,4,0.0
13,2,0,1,295.69999999999874,482.5297717945545,186.82977179455577,2,0.0
14,3,-1,1,295.69999999999874,488.9075471698101,193.20754716981133,3,193.20754716981133
15,0,4,2,403.8000000000233,491.45061727141194,87.65061727138863,0,0.0
16,2,-1,0,42.100000000000364,519.966666666667,477.8666666666667,2,477.8666666666667
17,1,2,4,445.70000000003284,543.1977132604579,97.49771326042509,1,0.0
18,0,5,2,491.50000000004326,579.1506172714319,87.65061727138863,0,0.0
19,4,1,3,481.70000000004103,605.7501772284375,124.05017722839642,4,0.0
20,1,3,4,543.200000000055,640.69771326048,97.49771326042503,1,0.0
21,0,6,2,579.2000000000631,666.8506172714517,87.65061727138857,0,0.0
22,2,1,1,482.60000000004123,669.429771794597,186.8297717945557,2,0.0
23,4,2,3,605.8000000000692,729.8501772284656,124.05017722839636,4,0.0
24,1,4,4,640.7000000000771,738.1977132605022,97.49771326042503,1,0.0
25,1,5,4,738.2000000000993,835.6977132605243,97.49771326042503,1,0.0
26,4,3,3,729.9000000000974,853.9501772284938,124.05017722839636,4,0.0
27,2,2,1,669.5000000000837,856.3297717946394,186.82977179455577,2,0.0
28,1,6,4,835.7000000001215,933.1977132605465,97.49771326042503,1,0.0
29,4,4,3,854.0000000001256,978.050177228522,124.05017722839636,4,0.0
30,1,7,4,933.2000000001436,1030.6977132605687,97.49771326042503,1,0.0
31,2,3,1,856.4000000001262,1043.229771794682,186.82977179455577,2,0.0
32,4,5,3,978.1000000001538,1102.1501772285503,124.05017722839648,4,0.0
33,1,8,4,1030.700000000158,1128.1977132605832,97.49771326042514,1,0.0
34,1,9,4,1128.2000000000694,1225.6977132604945,97.49771326042514,1,0.0
35,4,6,3,1102.200000000093,1226.2501772284895,124.05017722839648,4,0.0
36,2,4,1,1043.3000000001466,1230.1297717947023,186.82977179455565,2,0.0
37,1,10,4,1225.6999999999807,1323.1977132604059,97.49771326042514,1,0.0
38,4,7,3,1226.2999999999802,1350.3501772283767,124.05017722839648,4,0.0
39,2,5,1,1230.1999999999766,1417.0297717945323,186.82977179455565,2,0.0
40,1,11,4,1323.199999999892,1420.6977132603172,97.49771326042514,1,0.0
41,4,8,3,1350.3999999998673,1474.4501772282638,124.05017722839648,4,0.0
42,1,12,4,1420.6999999998034,1518.1977132602285,97.49771326042514,1,0.0
43,4,9,3,1474.4999999997544,1598.550177228151,124.05017722839648,4,0.0
44,2,6,1,1417.0999999998066,1603.9297717943623,186.82977179455565,2,0.0
45,1,13,4,1518.1999999997147,1615.6977132601398,97.49771326042514,1,0.0
46,1,14,4,1615.699999999626,1713.1977132600512,97.49771326042514,1,0.0
47,4,10,3,1598.5999999996416,1722.650177228038,124.05017722839648,4,0.0
48,2,7,1,1603.9999999996367,1790.8297717941923,186.82977179455565,2,0.0
49,1,15,4,1713.1999999995373,1810.6977132599625,97.49771326042514,1,0.0
50,3,0,1,1790.8999999994667,1878.087226836926,87.18722683745932,3,0.0
51,1,16,4,1810.6999999994487,1908.1977132598738,97.49771326042514,1,0.0
52,1,17,4,1908.19999999936,2005.6977132597851,97.49771326042514,1,0.0
