,job,task,node,start_time,finishing_time,execution_time,id_dataset,transfert_time
0,0,-1,63,11.099999999999977,13.72227912932136,2.6222791293213827,0,2.6222791293213827
1,0,-1,58,11.099999999999977,13.739175257731935,2.6391752577319583,0,2.6391752577319583
2,0,-1,59,11.099999999999977,13.756290531776889,2.6562905317769125,0,2.6562905317769125
3,0,-1,56,11.099999999999977,13.886394557823106,2.7863945578231295,0,2.7863945578231295
4,0,-1,60,11.099999999999977,13.89781420765025,2.7978142076502728,0,2.7978142076502728
5,0,-1,50,11.099999999999977,14.059537572254312,2.9595375722543356,0,2.9595375722543356
6,0,-1,51,11.099999999999977,14.120648967551599,3.0206489675516224,0,3.0206489675516224
7,0,-1,65,11.099999999999977,14.20303030303028,3.1030303030303035,0,3.1030303030303035
8,0,-1,62,11.099999999999977,14.212462006079004,3.112462006079028,0,3.112462006079028
9,0,-1,57,11.099999999999977,14.231498470947988,3.131498470948012,0,3.131498470948012
10,0,-1,61,11.099999999999977,14.424675324675302,3.324675324675326,0,3.324675324675326
11,0,-1,64,11.099999999999977,14.468421052631555,3.3684210526315788,0,3.3684210526315788
12,0,-1,71,14.099999999999964,16.752849740932607,2.652849740932643,0,2.652849740932643
13,0,-1,52,14.099999999999966,16.84899328859057,2.7489932885906043,0,2.7489932885906043
14,0,-1,66,14.099999999999966,16.875067750677474,2.7750677506775077,0,2.7750677506775077
15,0,-1,69,14.099999999999966,17.382051282051247,3.282051282051281,0,3.282051282051281
16,0,-1,72,17.099999999999973,20.43008130081298,3.3300813008130064,0,3.3300813008130064
17,4,-1,67,30.000000000000156,43.726541554959944,13.726541554959788,4,13.726541554959788
18,4,-1,54,30.000000000000156,43.913043478261024,13.913043478260867,4,13.913043478260867
19,4,-1,55,30.000000000000156,44.20249653259378,14.20249653259362,4,14.20249653259362
20,4,-1,70,30.000000000000156,44.52482269503562,14.52482269503546,4,14.52482269503546
21,4,-1,50,30.000000000000156,44.79768786127183,14.797687861271676,4,14.797687861271676
22,4,-1,52,41.00000000000031,54.744966442953334,13.744966442953022,4,13.744966442953022
23,4,-1,57,41.00000000000031,56.65749235474037,15.657492354740057,4,15.657492354740057
24,1,-1,71,11.099999999999973,64.15699481865282,53.056994818652846,1,53.056994818652846
25,1,-1,52,11.099999999999973,66.07986577181205,54.97986577181208,1,54.97986577181208
26,2,-1,63,14.099999999999973,66.54558258642763,52.445582586427655,2,52.445582586427655
27,1,-1,66,11.09999999999998,66.60135501355012,55.50135501355014,1,55.50135501355014
28,2,-1,58,14.099999999999966,66.88350515463914,52.78350515463917,2,52.78350515463917
29,2,-1,59,14.099999999999973,67.22581063553824,53.125810635538265,2,53.125810635538265
30,4,0,52,55.00000000000051,67.64958751692008,12.649587516919567,4,0.0
31,1,-1,53,11.09999999999998,67.6745856353591,56.574585635359114,1,56.574585635359114
32,1,-1,55,11.09999999999998,67.90998613037446,56.80998613037448,1,56.80998613037448
33,1,-1,68,11.09999999999998,67.90998613037446,56.80998613037448,1,56.80998613037448
34,0,0,50,20.000000000000014,71.07122083122078,51.07122083122077,0,0.0
35,0,9,63,21.00000000000003,71.39549614418017,50.39549614418014,0,0.0
36,4,1,57,57.00000000000054,71.6545173422103,14.654517342209758,4,0.0
37,2,-1,52,17.099999999999973,72.07986577181205,54.97986577181208,2,54.97986577181208
38,1,-1,70,14.099999999999966,72.19929078014181,58.09929078014184,1,58.09929078014184
39,1,-1,63,20.80000000000002,73.24558258642767,52.445582586427655,1,52.445582586427655
40,1,-1,58,20.800000000000026,73.5835051546392,52.78350515463917,1,52.78350515463917
41,2,-1,71,20.800000000000033,73.85699481865288,53.056994818652846,2,53.056994818652846
42,2,-1,68,17.099999999999966,73.90998613037445,56.80998613037448,2,56.80998613037448
43,1,-1,59,20.80000000000002,73.92581063553828,53.125810635538265,1,53.125810635538265
44,1,-1,56,20.900000000000027,76.62789115646261,55.72789115646258,1,55.72789115646258
45,1,-1,60,20.900000000000027,76.85628415300549,55.95628415300546,1,55.95628415300546
46,0,1,56,20.000000000000014,79.08198274357704,59.08198274357703,0,0.0
47,3,-1,65,17.099999999999966,79.16060606060603,62.06060606060606,3,62.06060606060606
48,3,-1,62,17.099999999999973,79.34924012158052,62.24924012158055,3,62.24924012158055
49,10,-1,63,73.00000000000013,79.55569782330359,6.555697823303461,10,6.555697823303461
50,3,-1,57,17.09999999999998,79.72996941896022,62.62996941896024,3,62.62996941896024
51,10,-1,67,73.00000000000013,79.86327077748003,6.863270777479897,10,6.863270777479897
52,3,-1,51,21.20000000000003,81.61297935103248,60.41297935103245,3,60.41297935103245
53,3,-1,73,17.09999999999998,82.42695374800635,65.32695374800637,3,65.32695374800637
