,job_id,nb_tasks,task_execution_time,arriving_time,starting_time,finishing_time,dataset size,transfert time,nb replicas,optimal_replicas_number,nb_first_replicas_sended
0,1,11,50,10.453891263175398,11.099999999999977,112.89999999999786,2048,2.840499306518724,33,,
1,2,7,50,13.670131903925054,17.099999999999973,122.39999999999732,1024,10.556701030927835,7,,
2,10,3,1,72.25618594390913,73.00000000000013,141.89999999999623,40960,56.574585635359114,6,,
3,3,3,70,16.195993760626187,17.099999999999973,145.19999999999604,1024,1.3264248704663213,3,,
4,0,6,100,10.200602872748009,11.099999999999977,207.3999999999925,10240,13.875338753387535,18,,
5,7,13,1,64.0060556182724,65.00000000000058,283.89999999999606,20480,28.40499306518724,29,,
6,4,12,50,29.531920488707016,30.000000000000156,298.9999999999995,20480,26.528497409326423,24,,
7,5,9,1,40.82365057669294,41.00000000000031,300.7999999999999,40960,54.97986577181208,18,,
8,9,12,80,69.78901898431089,70.0000000000003,363.00000000001404,2048,3.1314984709480123,29,,
9,6,15,80,63.09653157220674,64.00000000000064,494.800000000044,1024,1.5562310030395137,41,,
10,12,8,1,79.56428525937375,80.09999999999972,563.2000000000595,10240,13.264248704663212,16,,
11,11,8,50,79.29534122257067,80.09999999999972,659.5000000000814,1024,1.6842105263157894,18,,
12,8,10,100,69.4865172122373,70.0000000000003,667.0000000000831,20480,26.562905317769133,23,,
13,15,12,10,100.14941450566029,101.09999999999853,676.0000000000852,40960,65.32695374800637,23,,
14,13,9,70,81.78120195101056,82.09999999999961,689.4000000000882,40960,55.72789115646258,25,,
15,19,8,10,128.1803463861198,129.09999999999695,690.1000000000884,10240,16.41025641025641,8,,
16,14,12,10,92.27612196323628,93.09999999999899,703.6000000000914,5120,6.937669376693767,22,,
17,17,3,80,111.53776575834615,112.0999999999979,833.500000000121,40960,53.056994818652846,6,,
18,18,6,80,128.11514670057713,129.09999999999695,931.6000000001433,40960,55.50135501355014,6,,
19,16,9,100,102.63967869532853,103.09999999999842,1005.40000000016,40960,62.24924012158055,18,,
