,job,task,node,start_time,finishing_time,execution_time,id_dataset,transfert_time
0,1,-1,63,105.0999999999983,131.32279129321213,26.22279129321383,1,26.22279129321383
1,1,-1,59,105.0999999999983,131.66290531776744,26.562905317769136,1,26.562905317769136
2,1,-1,56,105.09999999999829,132.96394557822958,27.863945578231295,1,27.863945578231295
3,1,-1,60,105.09999999999829,133.07814207650102,27.978142076502735,1,27.978142076502735
4,2,-1,58,137.0999999999965,143.6979381443264,6.597938144329902,2,6.597938144329902
5,2,-1,59,137.0999999999965,143.7407263294388,6.640726329442288,2,6.640726329442288
6,2,-1,52,137.0999999999965,143.972483221473,6.8724832214765,2,6.8724832214765
7,2,-1,56,137.0999999999965,144.06598639455433,6.965986394557831,2,6.965986394557831
8,2,-1,60,137.0999999999965,144.0945355191222,6.994535519125691,2,6.994535519125691
9,2,-1,53,137.0999999999965,144.1718232044164,7.0718232044199,2,7.0718232044199
10,2,-1,55,137.0999999999965,144.2012482662933,7.101248266296807,2,7.101248266296807
11,2,-1,51,137.0999999999965,144.65162241887555,7.551622418879049,2,7.551622418879049
12,2,-1,57,137.0999999999965,144.92874617736652,7.8287461773700215,2,7.8287461773700215
13,0,-1,58,103.09999999999842,155.8835051546376,52.78350515463917,0,52.78350515463917
14,3,-1,58,162.09999999999508,175.29587628865488,13.195876288659804,3,13.195876288659804
15,3,-1,59,162.09999999999508,175.38145265887965,13.281452658884575,3,13.281452658884575
16,3,-1,52,162.09999999999508,175.8449664429481,13.744966442953029,3,13.744966442953029
17,3,-1,56,162.09999999999508,176.0319727891107,13.931972789115633,3,13.931972789115633
18,1,1,63,132.09999999999678,232.89099228835707,100.79099228836029,1,0.0
19,1,2,56,133.09999999999673,251.26396548715076,118.16396548715403,1,0.0
20,2,6,53,145.09999999999604,254.5218797274627,109.42187972746666,2,0.0
21,2,7,55,145.09999999999604,259.2230610949699,114.12306109497388,2,0.0
22,1,0,59,132.09999999999678,266.38879204309524,134.28879204309845,1,0.0
23,2,0,52,144.0999999999961,270.59587516919174,126.49587516919564,2,0.0
24,1,3,60,133.09999999999673,281.2910092305922,148.19100923059545,1,0.0
25,2,8,57,145.09999999999604,291.64517342209365,146.5451734220976,2,0.0
26,4,-1,52,296.09999999999883,297.4744966442941,1.3744966442952773,4,1.3744966442952773
27,4,-1,56,296.09999999999883,297.4931972789104,1.3931972789115434,4,1.3931972789115434
28,4,-1,53,296.09999999999883,297.51436464088283,1.4143646408840027,4,1.4143646408840027
29,4,-1,55,296.09999999999883,297.5202496532582,1.4202496532593614,4,1.4202496532593614
30,4,-1,50,296.09999999999883,297.579768786126,1.479768786127181,4,1.479768786127181
31,4,-1,51,296.09999999999883,297.61032448377466,1.5103244837758325,4,1.5103244837758325
32,2,2,58,144.10999999999535,327.189171629934,183.07917162993863,2,0.0
33,3,0,52,270.59587516919174,333.84381275378956,63.24793758459782,3,0.0
34,2,5,51,145.09999999999604,336.58320822972576,191.4832082297297,2,0.0
35,2,1,56,251.26396548715076,369.4279309743048,118.16396548715403,2,0.0
36,4,0,50,298.0999999999993,369.5997091637084,71.4997091637091,4,0.0
37,4,3,53,298.0999999999993,374.6953158092259,76.59531580922663,4,0.0
38,4,4,55,298.0999999999993,377.986142766481,79.88614276648173,4,0.0
39,2,3,59,266.38879204309524,400.6775840861937,134.28879204309845,2,0.0
40,5,-1,63,409.0000000000245,411.6222791293459,2.6222791293213845,5,2.6222791293213845
41,5,-1,58,409.0000000000245,411.63917525775645,2.6391752577319494,5,2.6391752577319494
42,5,-1,59,409.0000000000245,411.6562905318014,2.6562905317769037,5,2.6562905317769037
43,5,-1,52,409.0000000000245,411.7489932886151,2.7489932885906114,5,2.7489932885906114
44,5,-1,66,409.0000000000245,411.775067750702,2.775067750677522,5,2.775067750677522
45,5,-1,56,409.0000000000245,411.78639455784764,2.7863945578231437,5,2.7863945578231437
46,5,-1,60,409.0000000000245,411.7978142076748,2.7978142076502763,5,2.7978142076502763
47,5,-1,53,409.0000000000245,411.82872928179245,2.8287292817679486,5,2.8287292817679486
48,5,-1,55,409.0000000000245,411.8404993065432,2.8404993065187227,5,2.8404993065187227
49,4,2,52,333.84381275378956,422.39092537222655,88.54711261843698,4,0.0
50,3,1,56,369.4279309743048,428.50991371788183,59.08198274357704,3,0.0
51,2,4,60,281.2910092305922,429.48201846118764,148.19100923059545,2,0.0
52,3,3,59,400.6775840861937,467.8219801077429,67.1443960215492,3,0.0
53,4,1,51,336.58320822972576,470.62145399053657,134.0382457608108,4,0.0
54,5,7,63,412.0000000000252,492.6327938307134,80.63279383068823,5,0.0
55,5,1,53,412.0000000000252,499.5375037819985,87.53750378197333,5,0.0
56,5,2,55,412.0000000000252,503.2984488760043,91.29844887597909,5,0.0
57,0,0,58,327.189171629934,510.2683432598726,183.07917162993863,0,0.0
58,4,5,56,428.50991371788183,511.2246895588897,82.71477584100785,4,0.0
59,5,0,52,422.39092537222655,523.5876255075831,101.19670013535654,5,0.0
60,5,8,66,412.0000000000252,534.7164759252684,122.71647592524317,5,0.0
61,5,6,60,429.48201846118764,548.034825845664,118.55280738447641,5,0.0
62,5,5,59,467.8219801077429,575.2530137422216,107.4310336344787,5,0.0
63,3,2,58,510.2683432598726,601.8079290748419,91.53958581496931,3,0.0
64,5,3,56,511.2246895588897,605.755861948613,94.53117238972328,5,0.0
65,7,-1,63,642.1000000000774,668.3227912932913,26.222791293213845,7,26.222791293213845
66,7,-1,58,642.1000000000774,668.491752577397,26.391752577319608,7,26.391752577319608
67,7,-1,71,642.1000000000774,668.6284974094038,26.528497409326405,7,26.528497409326405
68,7,-1,59,642.1000000000774,668.6629053178466,26.56290531776915,7,26.56290531776915
69,7,-1,66,642.1000000000774,669.8506775068525,27.750677506775105,7,27.750677506775105
70,7,-1,56,642.1000000000774,669.9639455783088,27.863945578231323,7,27.863945578231323
71,7,-1,60,642.1000000000774,670.0781420765802,27.978142076502763,7,27.978142076502763
72,7,-1,53,642.1000000000774,670.387292817757,28.2872928176796,7,28.2872928176796
73,7,-1,55,642.1000000000774,670.5049930652647,28.404993065187227,7,28.404993065187227
74,7,-1,68,642.1000000000774,670.5049930652647,28.404993065187227,7,28.404993065187227
75,6,-1,84,632.0000000000751,683.2000000000752,51.200000000000045,6,51.200000000000045
76,6,-1,87,632.0000000000751,683.7825537295315,51.78255372945637,6,51.78255372945637
77,6,-1,63,632.0000000000751,684.4455825865028,52.44558258642769,6,52.44558258642769
78,6,-1,58,632.0000000000751,684.7835051547144,52.783505154639215,6,52.783505154639215
79,6,-1,71,632.0000000000751,685.056994818728,53.05699481865281,6,53.05699481865281
80,6,-1,59,632.0000000000751,685.1258106356134,53.1258106355383,6,53.1258106355383
81,6,6,63,684.4500000000377,685.4579099229213,1.0079099228836412,6,0.0
82,6,4,59,685.1300000000371,686.472887920468,1.3428879204309396,6,0.0
83,6,10,71,685.0600000000371,686.861983434443,1.8019834344058836,6,0.0
84,6,-1,67,632.0000000000751,686.9061662199143,54.90616621983918,6,54.90616621983918
85,6,-1,52,632.0000000000751,686.9798657718873,54.979865771812115,6,54.979865771812115
86,6,-1,66,632.0000000000751,687.5013550136252,55.501355013550096,6,55.501355013550096
87,6,-1,54,632.0000000000751,687.6521739131186,55.6521739130435,6,55.6521739130435
88,6,-1,56,632.0000000000751,687.7278911565377,55.72789115646253,6,55.72789115646253
89,6,12,59,686.6000000000876,687.9428879205185,1.3428879204309396,6,0.0
90,6,-1,60,632.0000000000751,687.9562841530806,55.95628415300541,6,55.95628415300541
91,6,0,52,686.9800000000354,688.2449587517274,1.2649587516920064,6,0.0
92,6,-1,53,632.0000000000751,688.5745856354342,56.574585635359085,6,56.574585635359085
93,6,-1,55,632.0000000000751,688.8099861304496,56.809986130374455,6,56.809986130374455
94,6,-1,68,632.0000000000751,688.8099861304496,56.809986130374455,6,56.809986130374455
95,6,2,56,687.7300000000347,688.9116396549063,1.1816396548715602,6,0.0
96,6,7,66,687.5100000000349,689.0439559491005,1.5339559490655574,6,0.0
97,6,5,60,687.9600000000345,689.4419100923404,1.4819100923059523,6,0.0
98,6,13,52,688.400000000088,689.66495875178,1.2649587516920064,6,0.0
99,6,1,53,688.5800000000339,689.6742187973086,1.0942187972747206,6,0.0
100,6,11,55,688.8100000000348,689.9512306109846,1.1412306109497194,6,0.0
101,6,8,68,688.8100000000337,690.077296966669,1.2672969666352856,6,0.0
102,6,-1,70,632.0000000000751,690.099290780217,58.099290780141814,6,58.099290780141814
103,6,14,56,689.1000000000881,690.2816396549597,1.1816396548715602,6,0.0
104,6,15,53,689.8000000000883,690.894218797363,1.0942187972747206,6,0.0
105,6,-1,50,632.0000000000751,691.1907514451618,59.190751445086676,6,59.190751445086676
106,6,9,70,690.1000000000325,691.489727323281,1.3897273232485077,6,0.0
107,6,16,52,695.0000000000895,696.2649587517815,1.2649587516920064,6,0.0
108,8,-1,62,698.0000000000902,701.1124620061692,3.1124620060789994,8,3.1124620060789994
109,8,-1,57,698.0000000000902,701.1314984710382,3.1314984709480314,8,3.1314984709480314
110,8,-1,61,698.0000000000902,701.3246753247655,3.324675324675354,8,3.324675324675354
111,8,-1,64,698.0000000000902,701.3684210527217,3.368421052631561,8,3.368421052631561
112,8,-1,2,698.0000000000903,714.2539682540585,16.253968253968196,8,16.253968253968196
113,8,3,64,702.0000000000911,714.5183596220138,12.518359621922741,8,0.0
114,8,-1,7,698.0000000000902,714.6504065041552,16.650406504065018,8,16.650406504065018
115,8,1,61,702.0000000000911,714.7269617504171,12.72696175032604,8,0.0
116,8,0,57,702.0000000000911,716.6545173423008,14.654517342209715,8,0.0
117,8,-1,12,698.0000000000902,717.5047619048521,19.50476190476195,8,19.50476190476195
118,8,-1,5,698.0000000000902,717.8834951457212,19.88349514563106,8,19.88349514563106
119,8,-1,8,698.0000000000902,718.2772277228624,20.277227722772295,8,20.277227722772295
120,8,2,62,702.0000000000911,718.4713959031207,16.47139590302959,8,0.0
121,8,-1,20,698.0000000000902,719.1134020619459,21.11340206185571,8,21.11340206185571
122,8,-1,16,698.0000000000902,719.3333333334235,21.33333333333337,8,21.33333333333337
123,8,-1,14,698.0000000000902,720.2608695653075,22.260869565217376,8,22.260869565217376
124,8,-1,15,698.0000000000902,722.094117647149,24.09411764705885,8,24.09411764705885
125,9,-1,63,698.0000000000902,724.222791293304,26.222791293213845,9,26.222791293213845
126,9,-1,58,698.0000000000902,724.3917525774098,26.391752577319608,9,26.391752577319608
127,9,-1,71,698.0000000000902,724.5284974094166,26.528497409326405,9,26.528497409326405
128,9,-1,59,698.0000000000902,724.5629053178593,26.56290531776915,9,26.56290531776915
129,9,-1,52,698.0000000000902,725.4899328859962,27.489932885906,9,27.489932885906
130,9,-1,66,698.0000000000902,725.7506775068653,27.750677506775105,9,27.750677506775105
131,9,-1,56,698.0000000000902,725.8639455783215,27.863945578231323,9,27.863945578231323
132,9,-1,60,698.0000000000902,725.9781420765929,27.978142076502763,9,27.978142076502763
133,9,-1,55,698.0000000000902,726.4049930652774,28.404993065187227,9,28.404993065187227
134,9,-1,68,698.0000000000902,726.4049930652774,28.404993065187227,9,28.404993065187227
135,9,-1,70,698.0000000000902,727.0496453901611,29.049645390070964,9,29.049645390070964
136,8,4,64,714.700000000094,727.2183596220167,12.518359621922741,8,0.0
137,9,-1,50,698.0000000000902,727.5953757226335,29.595375722543395,9,29.595375722543395
138,8,5,61,714.900000000094,727.62696175042,12.72696175032604,8,0.0
139,8,7,7,715.000000000094,728.0600977906313,13.06009779053727,8,0.0
140,8,13,16,720.0000000000952,730.7651066371564,10.765106637061194,8,0.0
141,8,8,57,716.8000000000944,731.4545173423041,14.654517342209715,8,0.0
142,8,6,2,715.000000000094,732.443694361746,17.44369436165198,8,0.0
143,8,14,20,720.0000000000952,733.9079777025979,13.907977702502762,8,0.0
144,8,9,5,718.0000000000947,734.1736956924194,16.173695692324713,8,0.0
145,8,11,62,718.6000000000948,735.0713959031244,16.47139590302959,8,0.0
146,8,10,12,718.0000000000947,736.8784110061129,18.878411006018155,8,0.0
147,9,0,50,727.6000000000917,737.8142441663358,10.214244166244157,9,0.0
148,8,12,8,719.0000000000949,737.8640117702558,18.864011770160914,8,0.0
149,9,1,52,725.4900000000936,738.1395875170132,12.64958751691961,9,0.0
150,8,16,7,728.0600977906313,741.1201955811686,13.06009779053727,8,0.0
151,9,6,50,738.0000000000992,748.2142441663434,10.214244166244157,9,0.0
152,5,4,58,601.8079290748419,748.2712663787928,146.46333730395088,5,0.0
153,10,-1,63,723.0000000000958,749.2227912933097,26.222791293213845,10,26.222791293213845
154,6,3,58,748.2712663787928,750.1020580950922,1.830791716299359,6,0.0
155,8,15,5,734.1736956924194,750.3473913847441,16.173695692324713,8,0.0
156,10,-1,58,724.1000000000961,750.4917525774157,26.391752577319608,10,26.391752577319608
157,10,-1,59,724.1000000000961,750.6629053178652,26.56290531776915,10,26.56290531776915
158,10,-1,66,723.0000000000958,750.7506775068709,27.750677506775105,10,27.750677506775105
159,10,-1,54,723.0000000000958,750.8260869566176,27.82608695652175,10,27.82608695652175
160,9,7,52,738.3000000000993,750.9495875170189,12.64958751691961,9,0.0
161,10,-1,60,723.0000000000958,750.9781420765986,27.978142076502763,10,27.978142076502763
