bandwidth,computation_nodes,energy_consumption
15,1.0,0.0
29,1.0,0.0
126,1.0,0.0
16,1.0,0.0
76,1.0,0.0
103,1.0,0.0
40,1.0,0.0
123,1.0,0.0
101,1.0,0.0
39,1.0,0.0
23,1.0,0.0
56,1.0,0.0
105,1.0,0.0
60,1.0,0.0
92,1.0,0.0
85,1.0,0.0
96,1.0,0.0
22,1.0,0.0
60,1.0,0.0
58,1.0,0.0
97,1.0,0.0
94,2.0,0.0
80,1.0,0.0
60,1.0,0.0
100,2.0,0.0
119,1.0,0.0
117,1.0,0.0
46,1.0,0.0
84,2.0,0.0
95,1.0,0.0
94,1.0,0.0
43,1.0,0.0
107,1.0,0.0
63,1.0,0.0
29,2.0,0.0
18,6.0,0.0
32,6.0,0.0
20,7.0,0.0
71,8.0,0.0
122,9.0,0.0
26,8.0,0.0
46,8.0,0.0
49,7.0,0.0
104,7.0,0.0
76,7.0,0.0
25,8.0,0.0
93,7.0,0.0
59,6.0,0.0
111,8.0,0.0
88,9.0,0.0
58,6.0,0.0
51,9.0,0.0
84,6.0,0.0
74,6.0,0.0
80,9.0,0.0
72,6.0,0.0
79,6.0,0.0
39,7.0,0.0
100,9.0,0.0
97,7.0,0.0
78,7.0,0.0
20,6.0,0.0
41,8.0,0.0
102,6.0,0.0
127,6.0,0.0
77,7.0,0.0
39,8.0,0.0
124,8.0,0.0
112,7.0,0.0
24,7.0,0.0
708,1.0,0.0
613,1.0,0.0
625,2.0,0.0
627,1.0,0.0
714,1.0,0.0
718,1.0,0.0
713,2.0,0.0
625,1.0,0.0
603,2.0,0.0
660,2.0,0.0
654,7.0,0.0
642,9.0,0.0
667,9.0,0.0
673,9.0,0.0
800,9.0,0.0
639,8.0,0.0
614,6.0,0.0
791,8.0,0.0
722,6.0,0.0
640,9.0,0.0
647,8.0,0.0
660,6.0,0.0
745,9.0,0.0
758,8.0,0.0
744,8.0,0.0
652,9.0,0.0
667,7.0,0.0
676,8.0,0.0
618,9.0,0.0
744,8.0,0.0
