job_index,start_time,end_time,node_index
18,0,137,0
11,0,1413,1
19,0,128,3
5,0,539,4
14,0,20,5
13,0,1024,6
19,0,21,8
13,0,1051,9
9,0,90,10
11,0,732,11
0,0,391,12
18,0,35,13
19,50,75,15
8,25,50,15
16,0,25,15
5,0,427,16
8,0,94,17
9,0,36,19
14,0,22,20
14,0,22,21
16,0,26,22
6,0,683,23
6,0,410,24
8,0,18,25
19,0,18,26
13,0,891,27
19,0,25,28
16,0,22,29
14,0,22,30
13,0,953,31
11,0,383,32
16,0,33,33
8,0,71,34
14,0,64,36
14,0,103,37
18,0,17,39
13,45,936,41
18,0,45,41
19,0,42,42
11,0,394,43
19,0,27,44
5,0,441,46
8,0,35,47
13,0,370,48
5,0,707,50
18,0,41,51
14,0,25,52
18,0,28,53
6,0,569,55
11,0,519,56
5,0,1051,57
11,0,410,58
14,0,27,60
19,0,103,61
11,0,1000,62
6,0,323,64
8,0,27,65
5,0,1051,66
8,0,19,68
5,0,1707,69
13,3,61,70
15,0,3,70
6,0,67,71
9,0,4,72
9,0,4,73
17,0,58,74
7,0,58,75
2,0,58,76
2,0,66,77
6,0,68,78
11,68,136,78
19,63,67,79
17,0,63,79
13,0,63,80
0,0,64,81
0,90,152,82
2,0,62,82
5,0,61,83
18,0,3,84
2,0,67,86
19,0,3,87
14,0,3,88
13,0,64,89
5,0,64,90
14,0,4,91
11,0,55,92
18,0,3,94
18,0,4,95
18,0,4,96
18,0,4,97
6,0,67,98
13,0,56,99
