bandwidth,computation_nodes,energy_consumption
15,1.0,0.0
29,1.0,0.0
126,1.0,0.0
16,1.0,0.0
76,1.0,0.0
103,1.0,0.0
40,1.0,0.0
123,1.0,0.0
101,1.0,0.0
39,1.0,0.0
23,1.0,0.0
56,1.0,0.0
105,9.0,0.0
60,6.0,0.0
92,7.0,0.0
85,9.0,0.0
96,6.0,0.0
22,7.0,0.0
60,9.0,0.0
58,8.0,0.0
97,7.0,0.0
94,9.0,0.0
80,8.0,0.0
60,6.0,0.0
100,9.0,0.0
796,1.0,0.0
608,1.0,0.0
616,1.0,0.0
783,2.0,0.0
701,1.0,0.0
636,1.0,0.0
743,1.0,0.0
709,1.0,0.0
656,1.0,0.0
726,1.0,0.0
628,1.0,0.0
774,1.0,0.0
697,6.0,0.0
664,7.0,0.0
602,9.0,0.0
737,6.0,0.0
687,9.0,0.0
716,7.0,0.0
784,8.0,0.0
645,8.0,0.0
760,6.0,0.0
755,8.0,0.0
641,7.0,0.0
735,9.0,0.0
725,8.0,0.0
