job_index,node_index,deletion_time
3,0,0
3,1,226
12,1,721
13,1,325
14,1,1069
4,3,219
5,3,627
6,3,915
9,3,0
14,3,1203
0,4,162
7,4,786
10,4,1032
7,5,566
11,5,0
14,5,1192
7,6,0
7,7,0
7,8,0
12,8,1084
15,8,569
7,9,0
8,9,375
9,9,520
11,9,1196
11,11,0
14,11,1107
8,14,0
12,15,928
12,18,946
8,19,0
11,19,1111
11,22,0
12,22,1012
12,23,957
11,24,0
14,24,1215
3,25,366
8,25,511
9,25,916
10,25,1014
14,25,1185
10,26,0
11,26,1193
12,26,162
10,28,420
10,29,175
11,29,872
12,29,1036
15,29,339
7,30,393
11,30,1213
12,30,619
8,32,533
11,32,777
12,32,1055
6,33,474
8,33,1138
1,34,292
2,34,752
3,34,999
10,34,1085
8,36,787
10,36,1099
12,36,0
3,39,1060
7,40,1156
8,40,0
3,41,1157
7,41,0
10,43,1025
3,45,1178
7,45,0
